timestamp,event_type,x,y
1764176258.561133,move,367,690
1764176258.5661917,move,370,691
1764176258.5714588,move,372,692
1764176258.5761569,move,376,693
1764176258.5812232,move,378,695
1764176258.5910697,move,381,696
1764176258.5961146,move,383,696
1764176258.601009,move,386,697
1764176258.6060627,move,388,697
1764176258.6112027,move,391,698
1764176258.6213393,move,393,698
1764176258.626336,move,398,700
1764176258.6313808,move,400,700
1764176258.636288,move,403,701
1764176258.6413956,move,408,701
1764176258.6518357,move,411,702
1764176258.6562035,move,414,702
1764176258.661648,move,419,704
1764176258.6665096,move,421,705
1764176258.6714923,move,424,706
1764176258.6813848,move,428,707
1764176258.686311,move,432,707
1764176258.6917856,move,437,708
1764176258.696529,move,442,712
1764176258.7018938,move,445,713
1764176258.712056,move,448,713
1764176258.7164485,move,453,714
1764176258.7218354,move,455,715
1764176258.7271156,move,458,716
1764176258.7316656,move,462,717
1764176258.742483,move,468,720
1764176258.7467477,move,470,721
1764176258.752158,move,473,723
1764176258.756814,move,477,724
1764176258.7618182,move,480,725
1764176258.7725275,move,482,726
1764176258.7767603,move,487,727
1764176258.7823274,move,489,728
1764176258.7868016,move,492,730
1764176258.7921271,move,494,731
1764176258.8044531,move,497,731
1764176258.806809,move,499,732
1764176258.8118062,move,501,732
1764176258.8169398,move,505,734
1764176258.8224978,move,508,735
1764176258.827038,move,511,736
1764176258.8372228,move,514,737
1764176258.8421028,move,516,738
1764176258.8471646,move,521,739
1764176258.8522215,move,523,740
1764176258.8578458,move,526,741
1764176258.867386,move,531,743
1764176258.8723567,move,534,746
1764176258.8773012,move,537,747
1764176258.8823366,move,541,748
1764176258.8872488,move,544,751
1764176258.8972132,move,546,751
1764176258.9020884,move,548,752
1764176258.9073858,move,552,753
1764176258.9123979,move,554,754
1764176258.917377,move,556,756
1764176258.9287553,move,557,757
1764176258.932412,move,559,758
1764176258.9373322,move,562,759
1764176258.942675,move,563,760
1764176258.9475179,move,565,760
1764176258.9524908,move,568,763
1764176258.9625468,move,570,763
1764176258.9675412,move,572,764
1764176258.9723861,move,574,766
1764176258.9775994,move,576,767
1764176258.9827242,move,577,768
1764176258.9874978,move,579,768
1764176258.9976325,move,582,769
1764176259.0040636,move,583,770
1764176259.007433,move,584,771
1764176259.01264,move,585,771
1764176259.018047,move,587,771
1764176259.0280156,move,587,771
1764176259.0333512,move,588,772
1764176259.0376465,move,589,772
1764176259.0427327,move,591,773
1764176259.0478199,move,592,773
1764176259.0577245,move,593,775
1764176259.0626748,move,594,775
1764176259.0677829,move,594,776
1764176259.0777605,move,595,776
1764176259.0977702,move,596,776
1764176259.107727,move,597,776
1764176259.1176093,move,597,777
1764176259.1981223,move,598,777
1764176259.2240627,move,600,777
1764176259.3039577,move,601,777
1764176259.3234358,move,601,777
1764176259.333493,move,602,777
1764176259.3431993,move,602,777
1764176259.348063,move,603,777
1764176259.3530626,move,604,777
1764176259.3582299,move,605,777
1764176259.3681998,move,606,777
1764176259.37812,move,607,777
1764176259.3892841,move,608,777
1764176259.3934903,move,609,777
1764176259.398774,move,610,777
1764176259.4085708,move,611,777
1764176259.4136488,move,612,777
1764176259.4236553,move,613,777
1764176259.4287612,move,613,777
1764176259.4387026,move,614,777
1764176259.4436097,move,615,777
1764176259.4488072,move,617,777
1764176259.458678,move,618,777
1764176259.468559,move,619,777
1764176259.4735222,move,621,777
1764176259.47864,move,621,777
1764176259.4836845,move,622,777
1764176259.4887314,move,623,777
1764176259.493743,move,626,777
1764176259.5042086,move,627,777
1764176259.508793,move,628,777
1764176259.5138927,move,629,777
1764176259.5189335,move,630,777
1764176259.5239692,move,631,777
1764176259.534176,move,632,777
1764176259.5388396,move,633,777
1764176259.5440588,move,636,777
1764176259.5491362,move,637,777
1764176259.5540411,move,637,777
1764176259.5589962,move,638,777
1764176259.5692008,move,640,777
1764176259.5742383,move,641,777
1764176259.5794964,move,642,777
1764176259.5845075,move,644,777
1764176259.589356,move,646,777
1764176259.5941885,move,646,777
1764176259.6043177,move,647,777
1764176259.6093025,move,648,777
1764176259.614216,move,649,777
1764176259.619065,move,651,777
1764176259.6245463,move,653,777
1764176259.6293416,move,654,777
1764176259.639825,move,654,777
1764176259.6450357,move,655,777
1764176259.6504598,move,656,777
1764176259.6546056,move,657,777
1764176259.669815,move,658,777
1764176259.6802921,move,659,777
1764176259.6904185,move,659,776
1764176260.5478804,move,659,776
1764176260.5528452,move,660,777
1764176260.558021,move,660,777
1764176260.5672095,move,661,778
1764176260.5722542,move,662,779
1764176260.5773463,move,664,779
1764176260.582625,move,666,780
1764176260.587445,move,669,782
1764176260.5972476,move,671,783
1764176260.6021323,move,674,786
1764176260.607346,move,676,787
1764176260.61231,move,679,788
1764176260.617333,move,682,790
1764176260.6275787,move,686,793
1764176260.6326094,move,691,798
1764176260.637472,move,694,800
1764176260.642535,move,698,802
1764176260.6475067,move,702,805
1764176260.657341,move,706,808
1764176260.6622348,move,708,810
1764176260.6674058,move,711,811
1764176260.672351,move,714,812
1764176260.677486,move,717,814
1764176260.6877594,move,719,815
1764176260.6926782,move,721,817
1764176260.6976676,move,724,819
1764176260.7027566,move,726,820
1764176260.7077456,move,728,821
1764176260.717875,move,730,822
1764176260.7228584,move,732,823
1764176260.7277255,move,736,825
1764176260.7326615,move,738,826
1764176260.7378,move,740,827
1764176260.7476132,move,741,829
1764176260.7525811,move,743,830
1764176260.757662,move,745,830
1764176260.7628531,move,746,831
1764176260.7677186,move,747,832
1764176260.7780876,move,748,833
1764176260.7830174,move,749,834
1764176260.7880373,move,750,835
1764176260.7932618,move,752,836
1764176260.7982929,move,754,837
1764176260.8081336,move,755,839
1764176260.8134608,move,757,840
1764176260.8181012,move,758,842
1764176260.823095,move,760,843
1764176260.8282065,move,762,844
1764176260.8330357,move,764,846
1764176260.8431702,move,765,847
1764176260.848129,move,766,849
1764176260.8530688,move,768,851
1764176260.8582754,move,769,852
1764176260.8633144,move,771,853
1764176260.8733401,move,772,855
1764176260.8782837,move,774,856
1764176260.8830392,move,775,856
1764176260.8881302,move,776,858
1764176260.8932219,move,778,860
1764176260.8982923,move,779,861
1764176260.9086301,move,780,862
1764176260.9135458,move,781,864
1764176260.9186149,move,784,865
1764176260.9235346,move,785,866
1764176260.9286022,move,786,868
1764176260.938627,move,787,870
1764176260.9435203,move,789,871
1764176260.9487386,move,790,872
1764176260.953674,move,791,874
1764176260.958734,move,791,875
1764176260.9686453,move,794,875
1764176260.9737124,move,795,879
1764176260.9788058,move,797,880
1764176260.98384,move,800,882
1764176260.988868,move,802,883
1764176260.9937725,move,804,885
1764176261.0036092,move,806,888
1764176261.0086105,move,807,891
1764176261.013693,move,809,893
1764176261.0187764,move,811,894
1764176261.0237908,move,812,896
1764176261.0337088,move,815,899
1764176261.0386171,move,816,901
1764176261.0436442,move,818,903
1764176261.0488498,move,820,905
1764176261.0537496,move,821,907
1764176261.0641267,move,822,911
1764176261.0690188,move,825,913
1764176261.0739565,move,826,915
1764176261.079009,move,827,918
1764176261.0840483,move,828,920
1764176261.0889769,move,831,923
1764176261.0988562,move,832,925
1764176261.1038473,move,833,927
1764176261.1090734,move,834,929
1764176261.113939,move,837,934
1764176261.1191082,move,838,936
1764176261.129399,move,841,938
1764176261.1343832,move,842,942
1764176261.1394093,move,843,944
1764176261.1444533,move,844,947
1764176261.1494417,move,845,947
1764176261.1593952,move,847,949
1764176261.164334,move,847,952
1764176261.1694255,move,847,953
1764176261.1744466,move,848,954
1764176261.1794114,move,849,956
1764176261.1894846,move,849,957
1764176261.1944284,move,850,958
1764176261.1995974,move,851,960
1764176261.2045038,move,851,962
1764176261.2095776,move,852,962
1764176261.2195277,move,853,963
1764176261.2244277,move,853,965
1764176261.2295673,move,854,966
1764176261.2347968,move,854,967
1764176261.239873,move,855,969
1764176261.249669,move,855,971
1764176261.2547002,move,856,971
1764176261.2597258,move,857,973
1764176261.2652771,move,857,974
1764176261.2702138,move,858,975
1764176261.2751331,move,858,977
1764176261.2851264,move,858,978
1764176261.2902162,move,859,980
1764176261.2957504,move,859,980
1764176261.300224,move,860,981
1764176261.3053153,move,860,982
1764176261.3152158,move,860,983
1764176261.3202991,move,861,983
1764176261.3253424,move,861,984
1764176261.3304634,move,862,985
1764176261.3355324,move,862,986
1764176261.3405616,move,862,986
1764176261.3504865,move,862,988
1764176261.3554084,move,862,989
1764176261.3604996,move,862,990
1764176261.3705866,move,862,991
1764176261.3803318,move,862,992
1764176261.3853428,move,862,993
1764176261.3954,move,862,993
1764176261.4155688,move,862,994
1764176261.4257805,move,862,995
1764176261.4359496,move,862,997
1764176261.450916,move,862,998
1764176261.4660401,move,862,999
1764176261.4709473,move,862,999
1764176261.4809048,move,862,1000
1764176261.4859228,move,862,1001
1764176261.4909718,move,862,1002
1764176261.496146,move,862,1003
1764176261.501174,move,862,1004
1764176261.511092,move,862,1006
1764176261.521166,move,862,1006
1764176261.5265675,move,862,1007
1764176261.5312507,move,862,1009
1764176261.5417442,move,862,1010
1764176261.546266,move,862,1011
1764176261.5512605,move,862,1012
1764176261.5563185,move,862,1012
1764176261.5613406,move,862,1015
1764176261.566339,move,862,1016
1764176261.576627,move,862,1017
1764176261.581356,move,862,1018
1764176261.5864089,move,862,1020
1764176261.596747,move,862,1022
1764176261.6064584,move,862,1024
1764176261.6112838,move,862,1024
1764176261.6163685,move,862,1026
1764176261.6214476,move,862,1027
1764176261.626482,move,862,1028
1764176261.636456,move,862,1030
1764176261.6414642,move,862,1031
1764176261.6464386,move,862,1032
1764176261.6516428,move,862,1033
1764176261.6567314,move,862,1034
1764176261.6663592,move,862,1035
1764176261.6713972,move,862,1036
1764176261.6765857,move,862,1037
1764176261.6818252,move,862,1038
1764176261.6867397,move,862,1038
1764176261.706773,move,862,1039
1764176261.7169,move,862,1041
1764176261.7269268,move,862,1042
1764176261.7417753,move,862,1043
1764176262.2496169,click_pressed,862,1043
1764176262.379485,click_released,862,1043
1764176262.9367695,move,867,1034
1764176262.9467247,move,875,1017
1764176262.9515817,move,885,1001
1764176262.9567199,move,898,978
1764176262.9619286,move,911,958
1764176262.966901,move,924,938
1764176262.9768422,move,935,918
1764176262.9814303,move,943,900
1764176262.9864879,move,955,885
1764176262.9918027,move,963,868
1764176262.99662,move,971,853
1764176263.0069928,move,980,838
1764176263.0120914,move,988,824
1764176263.016769,move,996,811
1764176263.0220568,move,1002,796
1764176263.0269845,move,1012,781
1764176263.0321627,move,1020,767
1764176263.0421078,move,1030,752
1764176263.0468433,move,1037,735
1764176263.0521014,move,1049,718
1764176263.0570474,move,1057,704
1764176263.062219,move,1067,689
1764176263.0718226,move,1075,674
1764176263.077263,move,1085,659
1764176263.0820162,move,1095,642
1764176263.087251,move,1103,626
1764176263.0923584,move,1112,609
1764176263.1024592,move,1120,592
1764176263.1073864,move,1128,576
1764176263.1120484,move,1137,557
1764176263.1174397,move,1147,540
1764176263.1224391,move,1153,524
1764176263.1321368,move,1162,507
1764176263.1374495,move,1168,493
1764176263.142375,move,1175,480
1764176263.1476467,move,1183,465
1764176263.1527064,move,1189,452
1764176263.1624517,move,1196,440
1764176263.1676548,move,1200,427
1764176263.1729863,move,1205,418
1764176263.1780732,move,1211,407
1764176263.1828477,move,1213,402
1764176263.1926432,move,1216,395
